"隐藏","文件夹名","标题(日)","标题(英)","时间","类型","object","显示地址(英)","补充照片","段落(日)","段落(英)","显示名"
"","IMG_8465","代表的支払い型","Typical Payment Type","2026/04/10 16:33","payment(behavior)","transparent long umbrella","Fruit Bicycle Park near Keihan Jingu-Marutamachi Station, Sakyo Ward, Kyoto","________.png","「支払い型」は、積算機、券売機など、「支払い行為」に関わる場所で発見される傘である。これらの場面では、カードの取り出しや物探し、スキャンといった操作によって、手と注意が一時的に占有される。その過程で、傘は明確に「置かれる」というよりも、一連の動作の流れの中で自然に脇へと置かれ、台の端や機械の横、足元などに一時的に留まる。そして支払いが終わると、注意は次の行動へと移り、傘はそのまま忘れられることになる。このタイプは行動の中断と切り替えに由来する点に特徴がある。短時間でありながら高い集中を伴う支払い行為は、傘を手から離れさせ、無意識のうちにその場に留める。そこに残された傘は、都市生活における微細な注意の断絶を記録している。","The 'payment' type refers to umbrellas found at settlement machines, ticket machines, or any location involving the act of payment. In these scenarios, operations such as retrieving cards, searching for items, or scanning barcodes occupy both one's hands and attention. Rather than being deliberately placed, the umbrella is naturally set aside within the flow of movement-propped against the edge of a counter, beside a machine, or at one's feet. Once the payment is complete, attention shifts to the next objective, and the umbrella is left behind. This type is characterized by the interruption and switching of behavioral sequences. The act of payment, which demands high concentration within a short duration, detaches the umbrella from both hand and consciousness. These abandoned objects serve as records of the minute ruptures in attention that occur within urban life.",""
"","IMG_8476","閉店清掃","Closing Cleanup","2026/04/10 21:09","disposal(behavior)","two transparent long umbrella","Shinkyogoku Shopping Street, near Kanzashi Wargo, Nakagyo Ward, Kyoto","_______.png","夜が深まり、商店街の多くの店が既にシャッターを下ろしている。同じ場所で二本の傘が同時に忘れられる確率は極めて低い。現場の状況と時間から判断すると、これは意図的に遺棄されたものだろう。付近の多くが飲食店であることを踏まえると、店内に残されていた無主の傘を、閉店前の清掃時に店員が外の柱の下へ移したのだと推測される。","Late at night, most shops in the arcade are already closed. The probability of two umbrellas being forgotten at the same time and place is extremely low. Based on the context and timing, these were likely intentionally discarded. Given that most nearby shops are eateries, I suspect these were unclaimed umbrellas left inside, which staff then moved to the base of the outdoor pillar while cleaning up before closing.",""
"","IMG_8508","","","2026/04/15 17:19","placement(behavior)","two transparent long umbrella","Kyoto Avanti, Higashikujo, Minami Ward, Kyoto","","","",""
"","IMG_8584","","","2026/04/23 18:06","placement(behavior)","black folding","Room B306, Sujin Campus, Kyoto City University of Arts, Shimogyo Ward, Kyoto","","","",""
"","IMG_8591","","","2026/04/23 19:49","disposal(behavior)","transparent long umbrella","Kyoto, Kyoto City, Minami Ward","IMG_8593.jpeg","","",""
"","IMG_8618","忘れ物置き場","Lost-and-Found Spot","2026/04/24 18:14","drop(behavior)","two transparent long umbrella, black long umbrella","bicycle parking area at Kyoto Yodobashi, Shimogyo Ward, Kyoto","IMG_0147.jpeg","","",""
"","IMG_8622","異なる運命","Different Fates","2026/04/25 21:54","hookable(affordance)","two transparent long umbrella","chocoZAP Kujo, Minami Ward, Kyoto","IMG_8245.jpeg ; IMG_8538.jpeg ; IMG_8621.jpeg ; IMG_8657.jpeg ; IMG_8685.jpeg ; IMG_8703.jpeg","Day1:ジムの外にあるLUUP専用駐車場に落ちている「傘No.1」を確認した。
Day2-Day42:数回ここを通り、看板に一本の傘が掛けられているのを目にする。当初は誰かが一時的に掛けたものと考え、「忘れられた傘」とは認識していなかった。
Day43:再び通りかかり、傘が依然として同じ場所に掛かっているのを見つける。ようやくこれが捨てられた傘であると気づき、写真で破損箇所の細部を照合した結果、Day1に見た「傘No.1」と同一であると確認した。この傘はこうして一ヶ月以上もここに忘れ去られていたことになる。
Day46:看板の反対側で二本目の「傘No.2」を確認した。
Day52:この日は一日中雨が降り、翌日まで続いた。午後の観察時、二本の傘はどちらも元のままだった。
Day53:雨はまだ降り続いていた。未明に通りかかると、「傘No.2」が消失しており、「傘No.1」は依然として看板に掛けられたままだった。夜間に傘が必要になった誰かが持ち去ったのだと推測される。しかし、「傘No.1」はまだそこに取り残されている。二本の傘の異なる運命。「傘No.2」は忘れられて間もなく再利用されたが、「傘No.1」はあとどれくらい忘れられ続けるのだろうか。","Day 1: Confirmed 'Umbrella No.1' on the ground at the LUUP parking area outside the gym. 
Day 2-Day 42: Passed by several times and noticed an umbrella hanging on a sign. Initially assumed someone had placed it there temporarily and did not recognize it as a 'forgotten umbrella'. 
Day 43: Passed by again and found the umbrella still in the same spot. Finally realized it was an abandoned object. After cross-referencing details of the damage with photos, confirmed it was the same 'Umbrella No.1' from Day 1 it had been neglected here for over a month. 
Day 46: Confirmed a second one. 'Umbrella No.2', on the opposite side of the sight. 
Day 52: It rained all day and continued into the next. During the afternoon observation, both umbrellas remained in their original state. 
Day 53: The rain was still falling. Passing by in the early morning, 'Umbrella No.2' had vanished, while 'Umbrella No.1' remained hanging on the sign. I suspect someone needing an umbrella during the night took it. However, 'Umbrella No.1' is still left behind. Observation: Two umbrellas, two different fates. The second was reused shortly after being forgotten, but how much longer will the first one continue to be neglected?",""
"","IMG_8632","","","2026/04/25 16:53","hookable(affordance)","transparent long umbrella","Satsunotsuji Garage, Higashikujo Higashifudatsujicho, Minami Ward, Kyoto","","","",""
"","IMG_8636","","","2026/04/25 17:13","payment(behavior)","two transparent long umbrella","bicycle parking area in front of Exit 4, Kujo Station (Karasuma Line), Minami Ward, Kyoto","IMG_8639.jpeg","","",""
"","IMG_8647","","","2026/04/27 16:11","drop(behavior)","transparent long umbrella","intersection in front of Toji Station, Minami Ward, Kyoto","","","",""
"","IMG_8665","","","2026/04/28 10:57","hookable(affordance)","transparent long umbrella","northbound tunnel at Higashiyama Bridge, Minami Ward, Kyoto","IMG_8665.jpeg","","","★ IMG_8664"
"","IMG_8680","","","2026/05/01 17:17","drop(behavior)","transparent long umbrella","Building C, Kyoto City University of Arts, Shimogyo Ward, Kyoto","","","",""
"","IMG_8682","","","2026/04/30 13:48","drop(behavior)","long umbrella","along the Kamo River, approx. 500 m south of Kanjin Bridge, Fushimi Ward, Kyoto","IMG_8684.png","","",""
"","IMG_8697","","","2026/05/01 17:20","hookable(affordance)","transparent long umbrella","Matsunokicho danchi, Minami Ward, Kyoto","","","",""
"","IMG_8724","不安定な支点","The Unstable Fulcrum","2026/05/04 03:58","placement(behavior)","transparent long umbrella","near Kawaramachi-Sanjo bus stop, Nakagyo Ward, Kyoto","_______.png ; IMG_8725.jpeg","一本の傘が地面に横たわっている。目を向けるとすぐ近くにバス停がある。そこから、スマートフォンを操作するため、あるいは荷物を探すために傘をボラードに立て掛けたものの、バスが来たことで慌てて乗り込み、そのまま忘れ去られた様子が目に浮かぶ。円柱状のボラードは表面が滑らかで安定した支えがないため、バスが走り去った際の微風によって、傘はすぐにバランスを崩して路肩に倒れ込んだ。それは、都市の移動の中に置き去りにされた、注意力の空白を物理的に物語っている。","An umbrella lies sideways on the ground. Looking around, a bus stop is just a short distance away. From this, I imagine someone leaning their umbrella against a bollard to free their hands for a phone or to search for something, then forgetting it in the rush to board the bus. Due to the smooth surface and lack of stable support of the round bollard, the umbrella quickly lost balance in the breeze created by the departing bus and fell onto the curb. It serves as a physical record of a minute rupture in attention within the urban rhythm.",""
"","IMG_8729","傘袋に入った傘","The Sleeved Umbrella","2026/05/01 20:40","hookable(affordance)","transparent long umbrella","Don Quijote Shijo Kawaramachi, Nakagyo Ward, Kyoto","_______.png","陳列棚に掛けられた傘袋が重要な手がかりとなっている。この傘がつい最近まで屋内、おそらくすぐ横の店舗出入り口から出てきたばかりであることを示している。拿袋の状態から、天候のシーケンスを逆算できる。入店前は雨が降っていたか止んだ直後であり、退店時には雨が完全に止んでいた可能性が高い。ラックに掛けられた瞬間、この傘は雨具としての即時的な利用価値を失ったのである。これは天候の変化と商業空間が交差した瞬間の行動を物語る物理的なフィールドレポートである","The umbrella sleeve hanging on the rack is a critical clue it indicates that this umbrella entered an indoor space recently, most likely emerging from the adjacent shop entrance. From the state of the sleeve, one can reconstruct a weather timeline: it was raining or had just stopped when the owner entered the shop, but the rain had completely ceased by the time they exited. The moment it was hung there, the umbrella lost its immediate utility as rain gear. It is not merely a lost object, but a physical field report documenting the behavioral shift where weather patterns and commercial spaces intersect.",""
"","IMG_8737","","","2026/05/01 21:08","drop(behavior)","transparent long umbrella","monthly parking lot near Kujo Kawaramachi bus stop, Minami Ward, Kyoto","IMG_8745.jpeg","","",""
"","IMG_8740","","","2026/05/02 19:56","corner(affordance)","transparent long umbrella","bicycle parking area, Kamo River Kiyomizu-Gojo site, Osakamachi, Higashiyama Ward, Kyoto","","","",""
"","IMG_8755","","","2026/05/10 15:36","placement(behavior)","transparent long umbrella","Kamata Sheet Metal, Kawanishi-cho, Higashi-Kujo, Minami Ward, Kyoto","IMG_8758.jpeg ; IMG_8757.jpeg","","",""
"","IMG_8766","","","2026/05/10 16:13","placement(behavior)","transparent long umbrella","the traffic light in front of the Goeido Gate of Higashi Hongan-ji Temple, Shimogyo Ward, Kyoto","IMG_8769.jpeg ; IMG_8763.jpeg","","",""
"","IMG_8788","","","2026/05/13 18:14","corner(affordance)","two transparent long umbrella","coin lockers in front of the Hachijō West Exit of Kyoto Station, Shimogyo Ward, Kyoto","","","",""
"","IMG_8918","","","2026/05/18 21:55","payment(behavior)","black long umbrella","a Times parking lot at the intersection northeast of Shōseien, Shimogyo Ward, Kyoto","IMG_8919.jpeg","","",""
"","IMG_8952","","","2026/05/22 14:57","drop(behavior)","translucent long umbrella","a construction site in Higashi-Kujō Minamimatsunochō, Minami Ward, Kyoto","","","",""
"","IMG_8962","","","2026/05/22 15:05","drop(behavior)","transparent long umbrella","north side of the underground pedestrian passage beside the Kyoto City University of Arts campus, Shimogyo Ward, Kyoto","IMG_8957.jpeg","","",""
"","IMG_8977","","","2026/05/22 22:26","disposal(behavior)","unknown","parking area under the elevated tracks at Kamitobaguchi Station on the Kintetsu Kyoto Line, Fushimi Ward, Kyoto","IMG_8978.jpeg","","",""
"","IMG_8980","","","2026/05/22 22:45","payment(behavior)","transparent long umbrella","inside Lawson Store 100 Kujō-Kawaramachi, Minami Ward, Kyoto","","","",""
"","IMG_8989","","","2026/05/23 21:05","drop(behavior)","transparent long umbrella","in front of FamilyMart Shijō-Kawaramachi-Nishi, Nakagyo Ward, Kyoto","","","",""
"","IMG_8993","","","2026/05/24 17:18","disposal(behavior)","unknown","50 m north of the signal at the intersection of National Route 24 and National Route 68, Fushimi Ward, Kyoto","IMG_8994.jpeg ; IMG_8995.jpeg ; IMG_8996.jpeg","","",""
"","IMG_9001","","","2026/05/24 20:12","placement(behavior)","transparent long umbrella","a vending machine next to Kirindo Kuinabashi, Fushimi Ward, Kyoto","IMG_9004.jpeg","","",""
"","IMG_9018","","","2026/05/27 17:26","drop(behavior)","transparent long umbrella","the sidewalk beside the north side of the underground pedestrian passage next to the Kyoto City University of Arts, Shimogyo Ward, Kyoto","IMG_9020.jpeg","","",""
